Element,Relevance,cycle,Pathway,pathway name,gene,key_gene,gene_name,energyRole,biogeoSubstrate,Metal,KO
Arsenic,Biogeochemistry,Arsenic,AsOx,Arsenite oxidation,aoxA,,arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1],D,Arsenite,,K08355
Arsenic,Biogeochemistry,Arsenic,AsOx,Arsenite oxidation,aoxB,,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],D,Arsenite,,K08356
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsC,,arsenate reductase,A,Arsenate,,K00537
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsC,,arsenate reductase  (glutaredoxin) ,A,Arsenate,,K03741
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsA,,arsenite/tail-anchored protein-transporting ATPase,,,,K01551
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsB,,arsenite transporter OR K03893 arsB,,,,K03325
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsR,,ArsR family transcriptional regulator,,,,K03892
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsB,,arsenical pump membrane protein,,,,K03893
Arsenic,Biogeochemistry,Arsenic,AsRed,Dissimilatory arsenic reduction (arsRBC or arsRDABC),arsC,,arsenate-mycothiol transferase,,,,K18701
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"sdhA, frdA",,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",,,,K00239
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"sdhB, frdB",,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",,,,K00240
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"sdhC, frdC",,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",,,,K00241
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"fumC, FH",,"fumarate hydratase, class II [EC:4.2.1.2]",,,,K01679
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,MUT,,methylmalonyl-CoA mutase [EC:5.4.99.2],,,,K01847
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,mcmA1,,"methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",,,,K01848
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,mcmA2,,"methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]",,,,K01849
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,accC,,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",,,,K01961
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,accA,,acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15],,,,K01962
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,accD,,acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],,,,K01963
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"accB, bccP",,acetyl-CoA carboxylase biotin carboxyl carrier protein,,,,K02160
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"MCEE, epi",,methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1],,,,K05606
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,mcl,yes,malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25],,,,K08691
